,Date,Ticker,Mentions,Rank,Sentiment
649,2020-07-01,MSFT,152,10,0.0054256579
650,2020-07-02,MSFT,103,11,0.0505029126
651,2020-07-03,MSFT,18,13,0.1491055556
652,2020-07-04,MSFT,12,16,0.1553916667
653,2020-07-05,MSFT,28,14,-0.0193428571
654,2020-07-06,MSFT,130,11,0.0967284615
655,2020-07-07,MSFT,244,8,0.0647504098
656,2020-07-08,MSFT,196,10,0.084625
657,2020-07-09,MSFT,353,8,0.0831725212
658,2020-07-10,MSFT,359,6,0.0142905292
659,2020-07-11,MSFT,51,7,0.1026431373
660,2020-07-12,MSFT,125,5,0.1395064
661,2020-07-13,MSFT,474,6,-0.0385050633
662,2020-07-14,MSFT,250,8,-0.0115568
663,2020-07-15,MSFT,251,7,-0.0313219124
664,2020-07-16,MSFT,391,5,0.0267808184
665,2020-07-17,MSFT,364,5,-0.0082239011
666,2020-07-18,MSFT,95,4,0.0130105263
667,2020-07-19,MSFT,114,6,0.0744359649
668,2020-07-20,MSFT,553,5,0.0717622061
669,2020-07-21,MSFT,693,2,0.0294005772
670,2020-07-22,MSFT,1273,2,0.0188463472
671,2020-07-23,MSFT,601,4,0.026297005
672,2020-07-24,MSFT,351,5,-0.0077780627
673,2020-07-25,MSFT,69,5,0.122715942
674,2020-07-26,MSFT,75,9,0.0864813333
675,2020-07-27,MSFT,225,9,-0.0125386667
676,2020-07-28,MSFT,197,9,-0.0218700508
677,2020-07-29,MSFT,122,17,0.0297114754
678,2020-07-30,MSFT,267,9,0.0225865169
679,2020-07-31,MSFT,776,2,0.0092403351
680,2020-08-01,MSFT,316,1,-0.0142268987
681,2020-08-02,MSFT,432,1,0.0576287037
682,2020-08-03,MSFT,333,3,0.057554955
683,2020-08-04,MSFT,488,5,0.0285116803
684,2020-08-05,MSFT,305,7,0.0111934426
685,2020-08-06,MSFT,302,8,0.0213903974
686,2020-08-07,MSFT,207,8,0.0413705314
687,2020-08-08,MSFT,97,4,0.0603556701
688,2020-08-09,MSFT,93,5,0.0543225806
689,2020-08-10,MSFT,401,4,-0.0593561097
690,2020-08-11,MSFT,318,5,-0.0090789308
691,2020-08-12,MSFT,183,8,0.0220743169
692,2020-08-13,MSFT,173,7,0.0110213873
693,2020-08-14,MSFT,99,10,0.1442757576
694,2020-08-15,MSFT,35,7,0.1354457143
695,2020-08-16,MSFT,37,8,0.0057459459
