,Date,Ticker,OTC_Short,OTC_Total,DPI
898,2019-01-22,MSFT,2393463,7622055,0.3140180699
899,2019-01-18,MSFT,4257048,8640178,0.4927037383
900,2019-01-17,MSFT,3419652,6782878,0.5041594438
901,2019-01-16,MSFT,3235094,7905140,0.4092393051
902,2019-01-15,MSFT,4025613,9241587,0.4355975873
903,2019-01-14,MSFT,3084783,7130545,0.432615319
904,2019-01-11,MSFT,2228306,6457319,0.3450822238
905,2019-01-10,MSFT,1692072,5151693,0.3284496961
906,2019-01-09,MSFT,3516889,6145634,0.5722581267
907,2019-01-08,MSFT,4159778,7717037,0.5390382345
908,2019-01-07,MSFT,3227693,6929038,0.4658212294
